AUTHOR,TITLE,FORM,TYPE
"ANDERSON, William",Shipping in a Calm Sea off the Coast,painting,landscape
"ANDERSON, William",Shipping on the Thames off Deptford,painting,landscape
ANDREA DA FIRENZE,"Bearing of the Cross, Crucifixion, Descent into Hell (north wall)",painting,religious
ANDREA DA FIRENZE,Crucifixion (detail),painting,religious
ANDREA DA FIRENZE,Crucifixion (detail),painting,religious
ANDREA DA FIRENZE,Crucifixion (detail),painting,religious
ANDREA DA FIRENZE,Bearing of the Cross,painting,religious
ANDREA DA FIRENZE,Bearing of the Cross (detail),painting,religious
ANDREA DA FIRENZE,Descent into Hell,painting,religious
ANDREA DA FIRENZE,Descent into Hell (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (west wall),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,"Scenes from the Life of St Peter Martyr (south wall, detail)",painting,religious
ANDREA DA FIRENZE,Vault frescoes,painting,religious
ANDREA DA FIRENZE,Resurrection (north vault cell),painting,religious
ANDREA DA FIRENZE,Salvation of Peter (Navicella) (east vault cell),painting,religious
ANDREA DA FIRENZE,Miracle of Pentecost (west vault cell),painting,religious
ANDREA DA FIRENZE,Ascension of Christ (south vault cell),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints,painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,Crucifixion,painting,religious
ANDREA DA FIRENZE,Madonna and Child with Saints,painting,religious
ANDREA DA FIRENZE,Madonna and Child with Saints (detail),painting,religious
ANDREA DA FIRENZE,Scenes from the Life of St Rainerus (detail),painting,religious
ANDREA DA MURANO,Polyptych,painting,religious
ANDREA DA MURANO,Polyptych,painting,religious
ANDREA DA MURANO,Polyptych,painting,religious
ANDREA DEL CASTAGNO,Crucifixion and Saints,painting,religious
ANDREA DEL CASTAGNO,St John the Baptist,painting,religious
ANDREA DEL CASTAGNO,God the Father,painting,religious
ANDREA DEL CASTAGNO,St John the Evangelist,painting,religious
ANDREA DEL CASTAGNO,St Mark,painting,religious
ANDREA DEL CASTAGNO,Madonna and Child with Saints,painting,religious
ANDREA DEL CASTAGNO,Last Supper and Stories of Christ's Passion,painting,religious
ANDREA DEL CASTAGNO,Stories of Christ's Passion (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper and Stories of Christ's Passion,painting,religious
ANDREA DEL CASTAGNO,Stories of Christ's Passion,painting,religious
