AUTHOR,TITLE,FORM,TYPE
ANDREA DEL CASTAGNO,Famous Persons: The Cumean Sibyl,painting,portrait
ANDREA DEL CASTAGNO,Famous Persons: Queen Tomyris,painting,portrait
ANDREA DEL CASTAGNO,Famous Persons: Dante Allighieri,painting,portrait
ANDREA DEL CASTAGNO,Famous Persons: Giovanni Boccaccio,painting,portrait
ANDREA DEL CASTAGNO,Famous Persons: Francesco Petrarca,painting,portrait
ANDREA DEL CASTAGNO,Our Lady of the Assumption with Sts Miniato and Julian,painting,religious
ANDREA DEL CASTAGNO,Crucifixion,painting,religious
ANDREA DEL CASTAGNO,The Youthful David,painting,religious
ANDREA DEL CASTAGNO,"The Holy Trinity, St Jerome and Two Saints",painting,religious
ANDREA DEL CASTAGNO,St Julian and the Redeemer,painting,religious
ANDREA DEL CASTAGNO,Crucifixion,painting,religious
ANDREA DEL CASTAGNO,Crucifixion (detail),painting,religious
ANDREA DEL CASTAGNO,Portrait of a Gentleman,painting,portrait
ANDREA DEL SARTO,The Annunciation,painting,religious
ANDREA DEL SARTO,Punishment of the Gamblers,painting,religious
ANDREA DEL SARTO,Journey of the Magi,painting,religious
ANDREA DEL SARTO,Miraculous Cure by Relics of Filippo Benizzi,painting,religious
ANDREA DEL SARTO,Birth of the Virgin,painting,religious
ANDREA DEL SARTO,Baptism of the People,painting,religious
ANDREA DEL SARTO,The Sermon of John the Baptist,painting,religious
ANDREA DEL SARTO,Charity,painting,religious
ANDREA DEL SARTO,Madonna of the Harpies,painting,religious
ANDREA DEL SARTO,Madonna of the Harpies,painting,religious
ANDREA DEL SARTO,Madonna of the Harpies (detail),painting,religious
ANDREA DEL SARTO,Portrait of the Artist's Wife,painting,portrait
ANDREA DEL SARTO,"Madonna and Child with St Elisabeth, the Infant St John, and Two Angels",painting,religious
ANDREA DEL SARTO,Madonna and Child with the Young St John,painting,religious
ANDREA DEL SARTO,"Madonna and Child with Sts Catherine, Elizabeth and John the Baptist",painting,religious
ANDREA DEL SARTO,Portrait of a Lady with a Book,painting,portrait
ANDREA DEL SARTO,Portrait of a Woman with a Basket of Spindles,painting,portrait
ANDREA DEL SARTO,Portrait of Baccio Bandinelli,painting,portrait
ANDREA DEL SARTO,Christ the Redeemer,painting,religious
ANDREA DEL SARTO,Tobias and the Angel with St Leonard and Donor,painting,religious
ANDREA DEL SARTO,Portrait of a Young Man,painting,portrait
ANDREA DEL SARTO,Holy Family,painting,religious
ANDREA DEL SARTO,Stories of Joseph,painting,religious
ANDREA DEL SARTO,Stories of Joseph,painting,religious
ANDREA DEL SARTO,Lamentation of Christ,painting,religious
ANDREA DEL SARTO,The Last Supper,painting,religious
ANDREA DEL SARTO,The Last Supper,painting,religious
ANDREA DEL SARTO,The Last Supper (detail),painting,religious
ANDREA DEL SARTO,The Last Supper (detail),painting,religious
ANDREA DEL SARTO,The Last Supper (detail),painting,religious
ANDREA DEL SARTO,Last Supper (study),painting,religious
ANDREA DEL SARTO,Pietà with Saints,painting,religious
ANDREA DEL SARTO,Pietà with Saints (detail),painting,religious
ANDREA DEL SARTO,The Sacrifice of Abraham,painting,religious
ANDREA DEL SARTO,Disputation on the Trinity,painting,religious
ANDREA DEL SARTO,Madonna della Scala,painting,religious
ANDREA DEL SARTO,Assumption of the Virgin,painting,religious
ANDREA DEL SARTO,Assumption of the Virgin (detail),painting,religious
ANDREA DEL SARTO,Assumption of the Virgin,painting,religious
ANDREA DEL SARTO,St John the Baptist,painting,religious
ANDREA DEL SARTO,St John the Baptist,painting,religious
ANDREA DEL SARTO,Holy Family (Borgherini),painting,religious
ANDREA DEL SARTO,"Virgin and Child, St Elizabeth and the Infant St John the Baptist",painting,religious
ANDREA DEL SARTO,Holy Family (Barberini),painting,religious
ANDREA DEL SARTO,Virgin and Child in Glory with Six Saints,painting,religious
ANDREA DEL SARTO,Virgin and Child in Glory with Six Saints (detail),painting,religious
ANDREA DEL SARTO,Standard of St James,painting,religious
ANDREA DEL SARTO,Madonna del sacco (Madonna with the Sack),painting,religious
ANDREA DEL SARTO,Self-portrait,painting,portrait
ANDREA DEL SARTO,Annunciation,painting,religious
ANDREA DEL SARTO,Annunciation (detail),painting,religious
ANDREA DEL SARTO,Annunciation (detail),painting,religious
ANDREA DEL SARTO,Sts Michael and John Gualbert,painting,religious
ANDREA DEL SARTO,Sts John the Baptist and Bernardo degli Uberti,painting,religious
ANDREA DEL SARTO,Assumption of the Virgin (Poppi Altarpiece),painting,religious
ANDREA DI BARTOLO,Christ on the Cross,painting,religious
ANDREA DI BARTOLO,Coronation of the Virgin,painting,religious
ANDREA DI BARTOLO,Coronation of the Virgin,painting,religious
ANDREA DI BARTOLO,Crucifixion,painting,religious
ANDREA DI BARTOLO,Madonna of Humility,painting,religious
ANDREA DI BARTOLO,Crucifixion,painting,religious
ANDREA DI BARTOLO,Lamentation,painting,religious
ANDREA DI BARTOLO,Resurrection,painting,religious
ANDREA DI BARTOLO,Christ on the Road to Calvary,painting,religious
