AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Landscape at Castiglioncello,1863,"Oil on panel, 10 x 30 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati1.html,painting,landscape,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Country Road with Cypresses,c. 1860,"Oil on canvas, 28 x 37 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati2.html,painting,landscape,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",The Cloister of Santa Croce,1861-62,"Oil on cardboard, 19 x 25 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati3.html,painting,landscape,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Portrait of a Woman,1865-66,"Oil on panel, 26 x 14 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati4.html,painting,portrait,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Oration (The prayer),1866,"Oil on canvas, 57 x 42 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati5.html,painting,religious,Italian,1851-1900
"ABBATINI, Guido Ubaldo","(b. ca. 1602, Città di Castello, d. 1656, Roma)",Gian Lorenzo Bernini's Cornaro Chapel,c. 1650,"Oil on canvas, 168 x 120 cm","Staatliches Museum, Schwerin",https://www.wga.hu/html/a/abbatini/cornaro.html,painting,religious,Italian,1601-1650
"ABEELE, Pieter van","(b. 1608, Middelburg, d. 1684, Amsterdam)",Medal commemorating Charles II embarkation at Scheveningen,1660,"Silver, diameter 7 cm","Royal Collection, Windsor",https://www.wga.hu/html/a/abeele/commemo1.html,sculpture,historical,Dutch,1601-1650
"ABEELE, Pieter van","(b. 1608, Middelburg, d. 1684, Amsterdam)",Commemorative Medal for Admiral Maarten Harpertszoon Tromp,1653,"Silver, cast, chased and engraved, diameter 7 cm",Private collection,https://www.wga.hu/html/a/abeele/commemo2.html,sculpture,historical,Dutch,1601-1650
"ABEELE, Pieter van","(b. 1608, Middelburg, d. 1684, Amsterdam)","William III, Prince of Orange, at the Age of Four",1654,"Silver, two cast chased shells soldered together, diameter 7 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/a/abeele/william3.html,sculpture,historical,Dutch,1601-1650
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",The Midwife Taking Leave of the Girl from Andros,1801,"Oil on canvas, 158 x 129 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/html/a/abildgaa/andria1.html,painting,mythological,Danish,1751-1800
